Date,Price,Open,High,Low,Vol.,Change %
04/20/2021,75.395,74.674,75.458,74.52,,0.71%
04/19/2021,74.86,74.556,75.06,74.548,,0.43%
04/16/2021,74.54,74.715,74.862,74.292,,-0.25%
04/15/2021,74.73,75.062,75.358,74.73,,-0.44%
04/14/2021,75.06,75.185,75.259,75.059,,-0.28%
04/13/2021,75.27,75.01,75.547,74.961,,0.37%
04-12-2021,74.99,74.968,75.202,74.741,,0.34%
04-09-2021,74.734,74.566,74.987,74.538,,0.21%
04-08-2021,74.577,74.435,74.899,74.186,,0.28%
04-07-2021,74.368,73.454,74.592,73.437,,1.19%
04-06-2021,73.49,73.262,73.499,73.209,,0.23%
04-05-2021,73.319,73.336,73.482,73.292,,-0.09%
04-02-2021,73.385,73.286,73.405,73.268,,0.07%
04-01-2021,73.332,73.175,73.459,73.162,,0.25%
03/31/2021,73.148,73.418,73.627,73.056,,-0.40%
03/30/2021,73.445,72.719,73.628,72.719,,0.95%
03/29/2021,72.755,72.531,72.764,72.48,,0.19%
03/26/2021,72.615,72.638,72.661,72.357,,-0.07%
03/25/2021,72.665,72.585,72.715,72.552,,0.10%
03/24/2021,72.595,72.565,72.728,72.502,,0.06%
03/23/2021,72.555,72.371,72.555,72.268,,0.24%
03/22/2021,72.38,72.45,72.536,72.312,,-0.05%
03/19/2021,72.413,72.661,72.715,72.413,,-0.39%
03/18/2021,72.7,72.342,72.729,72.324,,0.18%
03/17/2021,72.57,72.548,72.632,72.51,,0.08%
03/16/2021,72.515,72.515,72.642,72.368,,-0.03%
03/15/2021,72.535,72.661,72.789,72.38,,-0.21%
03-12-2021,72.69,72.664,72.876,72.63,,-0.01%
03-11-2021,72.7,72.757,72.802,72.58,,-0.04%
03-10-2021,72.73,72.811,73.107,72.728,,-0.06%
03-09-2021,72.776,73.329,73.394,72.776,,-0.80%
03-08-2021,73.36,73.205,73.409,72.933,,0.23%
03-05-2021,73.19,73.071,73.217,72.745,,0.62%
03-04-2021,72.739,72.886,73.113,72.599,,-0.28%
03-03-2021,72.94,73.241,73.29,72.692,,-0.44%
03-02-2021,73.26,73.388,73.513,73.26,,-0.20%
03-01-2021,73.405,73.592,73.789,73.174,,-0.72%
02/26/2021,73.937,72.963,74.072,72.949,,1.64%
02/25/2021,72.745,72.391,72.767,72.289,,0.49%
02/24/2021,72.39,72.39,72.475,72.268,,0.01%
02/23/2021,72.382,72.465,72.561,72.304,,-0.09%
02/22/2021,72.45,72.556,72.598,72.29,,-0.15%
02/19/2021,72.56,72.593,72.732,72.417,,-0.03%
02/18/2021,72.585,72.84,72.84,72.535,,-0.34%
02/17/2021,72.835,72.91,72.981,72.74,,-0.05%
02/16/2021,72.87,72.61,72.919,72.601,,0.34%
02/15/2021,72.624,72.603,72.696,72.513,,0.04%
02-12-2021,72.595,72.719,72.84,72.565,,-0.16%
02-11-2021,72.71,72.796,72.9,72.673,,-0.12%
02-10-2021,72.795,72.855,72.898,72.765,,-0.08%
02-09-2021,72.856,72.922,72.951,72.822,,-0.11%
02-08-2021,72.935,72.805,73.004,72.761,,0.16%
02-05-2021,72.815,72.989,73.034,72.77,,-0.19%
02-04-2021,72.955,72.826,72.997,72.826,,0.19%
02-03-2021,72.815,72.953,73.012,72.805,,-0.14%
02-02-2021,72.917,73.038,73.116,72.907,,-0.28%
02-01-2021,73.12,72.908,73.2,72.815,,0.29%
01/29/2021,72.906,72.935,73.06,72.829,,-0.05%
01/28/2021,72.944,73.033,73.193,72.889,,-0.17%
01/27/2021,73.07,72.904,73.092,72.79,,0.21%
01/26/2021,72.915,72.943,73.138,72.838,,-0.08%
01/25/2021,72.97,72.958,73.016,72.877,,-0.02%
01/22/2021,72.985,72.955,73.105,72.915,,0.02%
01/21/2021,72.97,72.924,73.056,72.9,,0.08%
01/20/2021,72.915,73.195,73.195,72.883,,-0.38%
01/19/2021,73.192,73.162,73.306,73.104,,0.01%
01/18/2021,73.188,73.128,73.327,73.128,,0.08%
01/15/2021,73.13,73.097,73.213,72.995,,0.07%
01/14/2021,73.08,73.143,73.24,72.922,,-0.12%
01/13/2021,73.17,73.175,73.238,73.065,,-0.08%
01-12-2021,73.225,73.497,73.497,73.195,,-0.34%
01-11-2021,73.474,73.439,73.6,73.367,,0.18%
01-08-2021,73.34,73.44,73.495,73.204,,-0.12%
01-07-2021,73.43,73.169,73.475,73.065,,0.40%
01-06-2021,73.136,73.184,73.234,73.055,,0.01%
01-05-2021,73.13,73.065,73.291,72.987,,0.07%
01-04-2021,73.08,73.089,73.125,72.827,,-0.06%
01-01-2021,73.125,73.1,73.13,73.025,,0.10%
12/31/2020,73.054,73.208,73.232,72.955,,-0.12%
12/30/2020,73.144,73.358,73.413,73.135,,-0.36%
12/29/2020,73.405,73.555,73.555,73.31,,-0.19%
12/28/2020,73.548,73.558,73.609,73.454,,-0.01%
12/25/2020,73.558,73.558,73.558,73.558,,0.00%
12/24/2020,73.555,73.805,73.845,73.517,,-0.30%
12/23/2020,73.78,73.91,73.91,73.66,,-0.10%
12/22/2020,73.854,73.938,73.948,73.802,,-0.24%
12/21/2020,74.028,73.575,74.105,73.575,,0.62%
12/18/2020,73.575,73.525,73.582,73.475,,0.07%
12/17/2020,73.525,73.585,73.627,73.367,,-0.16%
12/16/2020,73.64,73.527,73.66,73.457,,0.11%
12/15/2020,73.558,73.666,73.674,73.537,,-0.11%
12/14/2020,73.64,73.746,73.746,73.45,,-0.13%
12-11-2020,73.738,73.712,73.809,73.526,,-0.01%
12-10-2020,73.745,73.725,73.777,73.625,,0.02%
12-09-2020,73.73,73.697,73.73,73.52,,0.01%
12-08-2020,73.725,73.813,73.841,73.505,,-0.07%
12-07-2020,73.779,73.821,73.993,73.698,,0.00%
12-04-2020,73.776,73.878,73.878,73.661,,-0.13%
12-03-2020,73.87,73.685,73.982,73.67,,0.14%
12-02-2020,73.77,73.49,73.84,73.402,,0.37%
12-01-2020,73.5,74.023,74.023,73.458,,-0.68%
11/30/2020,74,73.943,74.02,73.87,,0.09%
11/27/2020,73.935,73.834,74.113,73.724,,0.13%
11/26/2020,73.837,73.776,73.906,73.714,,0.07%
11/25/2020,73.789,73.965,74.02,73.743,,-0.39%
11/24/2020,74.079,74.244,74.244,73.861,,-0.24%
11/23/2020,74.26,74.128,74.279,74.005,,0.19%
11/20/2020,74.12,74.15,74.213,74.062,,0.01%
11/19/2020,74.11,74.3,74.348,74.096,,-0.01%
11/18/2020,74.12,74.47,74.53,74.066,,-0.48%
11/17/2020,74.48,74.34,74.64,74.34,,0.13%
11/16/2020,74.38,74.598,74.598,74.38,,-0.27%
11/13/2020,74.582,74.656,74.724,74.472,,-0.14%
11-12-2020,74.685,74.415,74.754,74.35,,0.30%
11-11-2020,74.462,74.172,74.543,74.172,,0.23%
11-10-2020,74.29,73.94,74.483,73.93,,0.34%
11-09-2020,74.035,73.979,74.175,73.634,,0.08%
11-06-2020,73.976,74.012,74.27,73.842,,0.07%
11-05-2020,73.925,74.31,74.42,73.925,,-0.60%
11-04-2020,74.368,74.586,74.998,74.325,,-0.34%
11-03-2020,74.625,74.427,74.631,74.254,,0.15%
11-02-2020,74.51,74.575,74.575,74.265,,-0.08%
10/30/2020,74.567,74.308,74.716,74.243,,0.25%
10/29/2020,74.38,74.227,74.533,73.937,,0.26%
10/28/2020,74.19,73.729,74.279,73.647,,0.77%
10/27/2020,73.624,73.929,74,73.595,,-0.47%
