date,ticker,close_price,sentiment_score,usd_inr_rate,interest_rate,unemployment_rate,return_1,return_direction
2020-03-18,TCS,1519.3336,0.1779,74.55,5.15,7.859,0.0,0
2020-03-18,TCS,1519.3336,0.1779,74.55,5.15,7.859,0.0,0
2020-03-18,TCS,1519.3336,0.0,74.55,5.15,7.859,0.0,0
2020-03-18,TCS,1519.3336,0.1779,74.55,5.15,7.859,0.0,0
2020-03-18,TCS,1519.3336,0.0,74.55,5.15,7.859,0.0,0
2020-03-18,TCS,1519.3336,-0.5719,74.55,5.15,7.859,0.0,0
2020-03-18,TCS,1519.3336,0.4588,74.55,5.15,7.859,0.0,0
2020-03-19,TCS,1513.7368,0.0,74.786,5.15,7.859,-0.003683720283682246,0
2020-03-19,TCS,1513.7368,0.0,74.786,5.15,7.859,0.0,1
2020-03-20,TCS,1662.7653,0.5267,75.399,5.15,7.859,0.09845073463233511,0
2020-03-20,TCS,1662.7653,0.0,75.399,5.15,7.859,0.0,0
2020-03-20,TCS,1662.7653,0.34,75.399,5.15,7.859,0.0,0
2020-03-20,TCS,1662.7653,0.0,75.399,5.15,7.859,0.0,0
2020-03-20,TCS,1662.7653,-0.4019,75.399,5.15,7.859,0.0,0
2020-03-20,TCS,1662.7653,0.0,75.399,5.15,7.859,0.0,0
2020-03-20,TCS,1662.7653,-0.6249,75.399,5.15,7.859,0.0,0
2020-03-23,TCS,1544.5879,-0.2732,76.335,5.15,7.859,-0.07107280865194865,0
2020-03-23,TCS,1544.5879,-0.1779,76.335,5.15,7.859,0.0,0
2020-03-23,TCS,1544.5879,0.1779,76.335,5.15,7.859,0.0,0
2020-03-23,TCS,1544.5879,0.0,76.335,5.15,7.859,0.0,1
2020-03-24,TCS,1575.5315,0.6369,76.379,5.15,7.859,0.02003356364503439,0
2020-03-24,TCS,1575.5315,0.0,76.379,5.15,7.859,0.0,0
2020-03-24,TCS,1575.5315,0.0,76.379,5.15,7.859,0.0,0
2020-03-24,TCS,1575.5315,0.0,76.379,5.15,7.859,0.0,1
2020-03-25,TCS,1619.1486,0.0,76.375,5.15,7.859,0.02768405455555789,0
2020-03-25,TCS,1619.1486,0.0,76.375,5.15,7.859,0.0,0
2020-03-25,TCS,1619.1486,0.34,76.375,5.15,7.859,0.0,0
2020-03-25,TCS,1619.1486,0.34,76.375,5.15,7.859,0.0,0
2020-03-25,TCS,1619.1486,0.5267,76.375,5.15,7.859,0.0,0
2020-03-25,TCS,1619.1486,0.4767,76.375,5.15,7.859,0.0,1
2020-03-26,TCS,1656.7524,0.0,74.889,5.15,7.859,0.02322442794935564,0
2020-03-26,TCS,1656.7524,0.0,74.889,5.15,7.859,0.0,1
2020-03-27,TCS,1687.7885,0.0,75.472,4.4,7.859,0.018733094939231698,0
2020-03-27,TCS,1687.7885,-0.296,75.472,4.4,7.859,0.0,0
2020-03-27,TCS,1687.7885,0.4588,75.472,4.4,7.859,0.0,0
2020-03-30,TCS,1645.2356,0.0,75.41,4.4,7.859,-0.02521222297699033,1
2020-03-31,TCS,1689.2688,-0.3182,75.343,4.4,7.859,0.026764069535086588,0
2020-03-31,TCS,1689.2688,0.5267,75.343,4.4,7.859,0.0,0
2020-03-31,TCS,1689.2688,0.0,75.343,4.4,7.859,0.0,0
2020-03-31,TCS,1689.2688,-0.5719,75.343,4.4,7.859,0.0,0
2020-04-01,TCS,1580.7118,0.0,75.343,4.4,7.859,-0.06426271532393191,0
2020-04-01,TCS,1580.7118,0.0,75.343,4.4,7.859,0.0,0
2020-04-01,TCS,1580.7118,0.0,75.343,4.4,7.859,0.0,0
2020-04-03,TCS,1530.2494,0.2023,75.343,4.4,7.859,-0.03192384595344966,1
2020-04-07,TCS,1642.1827,-0.296,75.343,4.4,7.859,0.07314709615308468,0
2020-04-07,TCS,1642.1827,0.5267,75.343,4.4,7.859,0.0,0
2020-04-08,TCS,1577.6589,0.0,75.343,4.4,7.859,-0.03929148687292838,0
2020-04-08,TCS,1577.6589,0.0,75.343,4.4,7.859,0.0,0
2020-04-08,TCS,1577.6589,-0.5719,75.343,4.4,7.859,0.0,1
